state,date,division,index
Kedah,2019/4/1,overall,119.1
Kedah,2019/5/1,overall,119.4
Kedah,2019/6/1,overall,119.4
Kedah,2019/7/1,overall,119.5
Kedah,2019/8/1,overall,119.8
Kedah,2019/9/1,overall,119.8
Kedah,2019/10/1,overall,120
Kedah,2019/11/1,overall,120
Kedah,2019/12/1,overall,120.2
Kedah,2020/1/1,overall,120.2
Kedah,2020/2/1,overall,120.1
Kedah,2020/3/1,overall,118.5
Kedah,2020/4/1,overall,114.6
Kedah,2020/5/1,overall,115
Kedah,2020/6/1,overall,116.4
Kedah,2020/7/1,overall,117.2
Kedah,2020/8/1,overall,117.3
Kedah,2020/9/1,overall,117.3
Kedah,2020/10/1,overall,117.2
Kedah,2020/11/1,overall,116.9
Kedah,2020/12/1,overall,117.6
Kedah,2021/1/1,overall,119.3
Kedah,2021/2/1,overall,119.8
Kedah,2021/3/1,overall,120.3
Kedah,2021/4/1,overall,120.5
Kedah,2021/5/1,overall,120.5
Kedah,2021/6/1,overall,120.5
Kedah,2021/7/1,overall,119.7
Kedah,2021/8/1,overall,119.8
Kedah,2021/9/1,overall,119.9
Kedah,2021/10/1,overall,120.9
Kedah,2021/11/1,overall,121.2
Kedah,2021/12/1,overall,121.9
Kedah,2022/1/1,overall,122.1
Kedah,2022/2/1,overall,122.4
Kedah,2022/3/1,overall,122.6
Kedah,2022/4/1,overall,122.8
Kedah,2022/5/1,overall,123.1
Kedah,2022/6/1,overall,123.6
Kedah,2022/7/1,overall,123.9
Kedah,2022/8/1,overall,123.9
Kedah,2022/9/1,overall,124
Kedah,2022/10/1,overall,124.2
Kedah,2022/11/1,overall,124.5
Kedah,2022/12/1,overall,124.6
Kedah,2023/1/1,overall,124.8
Kedah,2023/2/1,overall,125.2
Kedah,2023/3/1,overall,125.2
Kedah,2023/4/1,overall,125.3
Kedah,2023/5/1,overall,125.5
Kedah,2023/6/1,overall,125.6
Kedah,2023/7/1,overall,125.7
Kedah,2023/8/1,overall,125.7
Kedah,2023/9/1,overall,125.8
Kedah,2023/10/1,overall,125.8
Kedah,2023/11/1,overall,126
Kedah,2023/12/1,overall,126.2
Kedah,2024/1/1,overall,126.4
Kedah,2024/2/1,overall,126.3
Kedah,2024/3/1,overall,127
Kedah,2024/4/1,overall,127
Kedah,2024/5/1,overall,127.3
Kedah,2024/6/1,overall,127.4
Kedah,2024/7/1,overall,127.5
Kedah,2024/8/1,overall,127.5
Kedah,2024/9/1,overall,127.5
Kedah,2024/10/1,overall,127.6
Kedah,2024/11/1,overall,127.5
Kedah,2024/12/1,overall,127.4
Kedah,2025/1/1,overall,127.6
Kedah,2025/2/1,overall,127.9
Kedah,2025/3/1,overall,127.8
Kedah,2025/4/1,overall,128.1
Kedah,2025/5/1,overall,128
Kedah,2025/6/1,overall,128.2
Kedah,2025/7/1,overall,128
Kedah,2025/8/1,overall,128.2
Kedah,2025/9/1,overall,128.6
Kedah,2025/10/1,overall,128.3
